Answer	(Question 1, Freq 1)	(Question 2, Freq 2)	...
swarm	('He hated bees and feared encountering a __________.', 0.2)
clown	('Grace laughed when he referred to her as a __________.', 0.04)
sour	("The baby's face puckered when she ate something __________.", 0.94)
vacation	('The beach is the place we will usually __________.', 0.15)
squint	('After waiting three hours, Cal whined and started to __________.', 0.01)
laughter	('While watching the funny movie, Kim was overcome with __________.', 0.69)
attic	('Hearing noises from above, the confused man inspected the __________.', 0.33)
clean	('The restaurants on the west end were very __________.', 0.03)
awaken	('Tim was very tired, so he was difficult to __________.', 0.01)
shape	('Jean was satisfied as her sculpture began to take __________.', 0.68)
stop	('Pressed for time, Beth made a quick grocery __________.', 0.18)	('After a long workday, Jack was excited to __________.', 0.01)
cave	('A village was discovered between the mountains, in a __________.', 0.07)
pull	('David lost tug-of-war because he was too tired to __________.', 0.81)
medication	('The patient was angry for receiving the wrong __________.', 0.3)
plain	('Paige thought the color of the wall was rather __________.', 0.05)
breakfast	('The stockholders meeting started after a short __________.', 0.03)
dung	('A gardener, Harry likes to fertilize plants with __________.', 0.05)
day	('Josie drank a large glass of milk every __________.', 0.53)
batch	('Running low on cookies, the bakery needed a new __________.', 0.55)
closet	('The clothier grabbed a bolt of cloth from the __________.', 0.1)
corner	('The reckless driver drove too quickly around the __________.', 0.42)
chalk	('The girls made beautiful designs on the street with __________.', 0.83)
gymnosperm	('Tom was told that this particular plant was a __________.', 0.01)
kick	('You could be seriously injured by a horse __________.', 0.54)
hair	('As Aiden aged, he began to lose his __________.', 0.49)
legs	('The horse broke the fence by kicking out his __________.', 0.34)
relax	('After a long workday, Jack was excited to __________.', 0.3)	('After the marathon, Kelly dined at a buffet to __________.', 0.1)	('Tim was very tired, so he was difficult to __________.', 0.01)	('The beach is the place we will usually __________.', 0.1)
smile	("Daniel loved Annie and couldn't help but __________.", 0.37)
bolt	("The sailor entered the deck after lifting the door's __________.", 0.02)
ali	('Allison did not like her husband calling her __________.', 0.01)
watch	("Daniel loved Annie and couldn't help but __________.", 0.01)	('The impatient man kept glancing at his __________.', 0.94)
latch	("The sailor entered the deck after lifting the door's __________.", 0.24)	("The treasure chest didn't close because of a broken __________.", 0.47)
pub	('Looking for local beer, people walked to the __________.', 0.28)
soar	('Isaiah loved to see the wild eagles __________.', 0.4)
recover	('After the marathon, Kelly dined at a buffet to __________.', 0.04)
diva	('Grace laughed when he referred to her as a __________.', 0.03)
salty	("The baby's face puckered when she ate something __________.", 0.01)
meet	('The beach is the place we will usually __________.', 0.07)
complain	('After waiting three hours, Cal whined and started to __________.', 0.1)
expensive	('The restaurants on the west end were very __________.', 0.43)
control	('Tim was very tired, so he was difficult to __________.', 0.05)
run	('Pressed for time, Beth made a quick grocery __________.', 0.32)	('After a long workday, Jack was excited to __________.', 0.01)
valley	('A village was discovered between the mountains, in a __________.', 0.74)
dose	('The patient was angry for receiving the wrong __________.', 0.03)
boring	('Allison did not like her husband calling her __________.', 0.01)	('Paige thought the color of the wall was rather __________.', 0.07)
break	('The stockholders meeting started after a short __________.', 0.28)
morning	('Josie drank a large glass of milk every __________.', 0.38)
shelf	('The clothier grabbed a bolt of cloth from the __________.', 0.29)
hybrid	('Tom was told that this particular plant was a __________.', 0.03)
hoof	('You could be seriously injured by a horse __________.', 0.1)	('The horse broke the fence by kicking out his __________.', 0.06)
